Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,LANGUAGE,PATIENTPOPULATIONPERCENTAGEBELOWPOVERTY
f0f3bc8d-ef38-49ce-a2bd-dfdda982b271,2017-08-24,,999-68-6630,,,,Jacinto644,Kris249,,,,white,nonhispanic,M,Beverly  Massachusetts  US,888 Hickle Ferry Suite 38,Springfield,Massachusetts,Hampden County,1106,42.151961474963535,-72.59895940376188,8446.49,1499.08,,
58cac9ec-4baa-46c1-b919-0ed13572b51d,1970-06-13,2016-05-07,999-90-2484,S99989337,X48630763X,Ms.,Isabel214,Carvajal694,,,S,white,hispanic,F,Santiago  Santiago Province  CL,335 Morar Highlands Apt 75,Fall River,Massachusetts,Bristol County,2720,41.68768444527544,-71.0557687821624,1145378.45,4941.2,,
ff7b040b-aa96-4003-8926-3dac8ca8eb05,2000-12-19,,999-28-2716,S99985509,,Ms.,Carmelia328,Konopelski743,,,,white,nonhispanic,F,Lee  Massachusetts  US,1025 Collier Arcade,Ashland,Massachusetts,Middlesex County,,42.2919859634347,-71.4637238426449,439502.18,72357.13000000014,,
0bccccae-0961-4ee0-896a-d80729b22e6c,1970-06-13,,999-38-7030,S99955092,X33628450X,Mrs.,Yolanda648,Gollum504,,Reyes140,M,white,hispanic,F,Portsmouth  Saint John Parish  DM,540 Gibson Green,Fall River,Massachusetts,Bristol County,,41.6642703334667,-70.96815656387318,974691.53,11915.6,,
b837f045-b9b5-486a-ad32-94b9f519737f,1958-05-09,,999-49-5916,S99935194,X2603260X,Mrs.,Danae973,Franecki195,,Gleichner915,M,white,nonhispanic,F,Holyoke  Massachusetts  US,1062 Conn Well Suite 4,Framingham,Massachusetts,Middlesex County,1702,42.30967844045964,-71.42307309211299,1416219.08,18465.11,,
4088279b-94cc-42f7-8cab-8ce880997553,1967-07-12,,999-15-5162,S99965704,X33957632X,Mr.,Wesley533,Rau926,,,M,white,nonhispanic,M,Chicopee  Massachusetts  US,788 Wilderman Vale,New Bedford,Massachusetts,Bristol County,,41.65182806986783,-70.98799740134385,1284480.4,6621.08,,
c1751563-21b8-4c7a-88d3-c41f55f12103,1986-09-20,,999-39-5390,S99940973,X25570027X,Mrs.,Mabel261,Dach178,,Larkin917,M,white,nonhispanic,F,Granby  Massachusetts  US,844 Hammes Byway,Framingham,Massachusetts,Middlesex County,1702,42.34587561056077,-71.42562595250615,621113.51,7492.519999999999,,
a527bcf0-3746-476c-90f2-dbab8868385e,1978-11-27,,999-90-6743,S99931371,X15345583X,Mrs.,Margarita164,Beahan375,,Crooks415,M,white,nonhispanic,F,Barnstable  Massachusetts  US,135 Runolfsdottir Orchard Suite 11,Norton,Massachusetts,Bristol County,,41.925767956827,-71.15034496284127,912431.48,9377.149999999998,,
9fe4a306-af13-41d6-9936-cc2727aff831,2009-06-04,,999-19-6600,,,,Eveline832,Wintheiser220,,,,black,hispanic,F,Sandwich  Massachusetts  US,895 MacGyver Skyway,Chicopee,Massachusetts,Hampden County,1020,42.18345480101672,-72.50164711151022,25964.55,645.8,,
7f4ef129-1511-47a9-a9b7-8b0b2d02ad50,1952-05-06,,999-56-8675,S99923437,X85058581X,Mrs.,Sabina296,Flatley871,,Schmidt332,M,white,nonhispanic,F,Norwell  Massachusetts  US,502 Jakubowski Burg,Springfield,Massachusetts,Hampden County,,42.12911097701997,-72.6128205943982,1466791.2,11851.95,,
075095e6-c821-436e-92e3-9e5323ed81e5,1946-09-09,2009-04-03,999-63-7990,S99972029,X16080559X,Mr.,Kermit56,Rutherford999,,,M,white,nonhispanic,M,Stow  Massachusetts  US,489 Nienow Rue,Fall River,Massachusetts,Bristol County,2790,41.653135767742114,-71.0043680629964,1662009.03,4021.32,,
0934bb3d-8592-405f-a568-747ab0634a48,1984-07-07,,999-56-1666,S99927743,X5950935X,Mr.,Alejandro916,D'Amore443,,,M,asian,nonhispanic,M,Arlington  Massachusetts  US,272 O'Connell Stravenue,Blackstone,Massachusetts,Worcester County,,42.066384941120646,-71.48830511220497,778680.6,2703.88,,
1ee9a3db-fd36-4571-b705-7e46a97e4792,1997-10-09,,999-32-2366,S99976985,X35341624X,Ms.,Tabetha269,O'Hara248,,,,white,nonhispanic,F,Auburn  Massachusetts  US,1080 Sawayn Gateway Suite 9,Framingham,Massachusetts,Middlesex County,1701,42.3224819015944,-71.40032560558313,609823.11,2810.64,,
b83237f3-9ff5-491e-aab4-d63ccff85f85,2012-11-17,,999-91-6450,,,,Gerald181,Gorczany269,,,,white,nonhispanic,M,Maynard  Massachusetts  US,304 Considine View,Franklin,Massachusetts,Norfolk County,2038,42.04514107194324,-71.42171934441131,174094.56,2776.48,,
c1800ba1-7cba-45d7-bdc4-0e0b583932e4,2018-01-20,,999-28-4976,,,,Mateo562,Palacios784,,,,white,hispanic,M,Santiago  Santiago Province  CL,841 McGlynn Knoll Suite 67,Taunton,Massachusetts,Bristol County,2780,41.95997846731197,-71.0141637048784,49834.59,1408.2399999999998,,
199f6cf3-a337-4b0d-860f-2f4641455591,1988-03-07,,999-29-7843,S99990370,X39543046X,Mr.,Maurice742,Bauch723,,,M,white,nonhispanic,M,Brockton  Massachusetts  US,154 Schulist Port,Dartmouth,Massachusetts,Bristol County,,41.53861855996967,-70.92835961257279,745347.77,7400.879999999998,,
